video_id,verified_city,verified_region,verified_country,verified_location_text,location_status,location_confidence,location_evidence_url,location_evidence_method,location_reviewed_at,location_reviewer,location_notes
nCf7X2cPDAY,Duluth,Minnesota,United States,"Duluth, Minnesota, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/minnesota/duluth/lighthouse.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
nT8aBQx8OS4,Panama City Beach,Florida,United States,"Panama City Beach, Florida, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/florida/panama-city-beach/laguna-beach.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
X-ir2KfXMX0,La Plata,Missouri,United States,"La Plata, Missouri, United States",verified,medium,https://www.youtube.com/watch?v=X-ir2KfXMX0,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
ZvYvZLfPatQ,Las Vegas,Nevada,United States,"Las Vegas, Nevada, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/nevada/las-vegas/fremont-street.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
P5WnSGXJpkM,Davao City,Davao Region,Philippines,"Agdao Public Market, Davao City, Davao Region, Philippines",verified,medium,https://www.youtube.com/watch?v=P5WnSGXJpkM,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
bZ4uxyLqV-E,Jacksonville,Florida,United States,"Jacksonville, Florida, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/florida/jacksonville/pier.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
mYbn_umeenk,St. Augustine,Florida,United States,"St. Augustine, Florida, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/florida/st-augustine/st-augustine.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
bmNAteGGFpA,Porthcawl,Wales,United Kingdom,"Porthcawl, Wales, United Kingdom",verified,high,https://www.skylinewebcams.com/en/webcam/united-kingdom/wales/porthcawl/porthcawl.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
WY2t935xDqM,The Villages,Florida,United States,"Brownwood Paddock Square, The Villages, Florida, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/florida/brownwood/brownwood.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page identifies Brownwood; municipality standardized to The Villages."
Fw9hgttWzIg,Lamai,Surat Thani,Thailand,"Lamai, Koh Samui, Surat Thani, Thailand",verified,medium,https://www.youtube.com/watch?v=Fw9hgttWzIg,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
_0wPODlF9wU,Canmore,Alberta,Canada,"Canmore, Alberta, Canada",verified,medium,https://www.youtube.com/watch?v=_0wPODlF9wU,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
v9NWddwu8rw,Rockport,Maine,United States,"Rockport, Maine, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/maine/rockport/harbor.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
ccN7Cgs4XfI,Marshall,Michigan,United States,"Marshall, Michigan, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/michigan/marshall/marshall.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
zNvNY9xf9T4,Coral Bay,Saint John,United States Virgin Islands,"Coral Bay, Saint John, United States Virgin Islands",verified,high,https://www.skylinewebcams.com/en/webcam/us-virgin-islands/saint-john/saint-john/floating-taco-boat.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
p4C2WL9Nq9o,Cruz Bay,Saint John,United States Virgin Islands,"Cruz Bay, Saint John, United States Virgin Islands",verified,high,https://www.skylinewebcams.com/en/webcam/us-virgin-islands/saint-john/cruz-bay/cruz-bay.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
97T8hDEvtpg,The Villages,Florida,United States,"The Villages, Florida, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/florida/the-villages/spanish-springs-town-square.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
kkVrj2cr9Ko,Lamai,Surat Thani,Thailand,"Lamai, Koh Samui, Surat Thani, Thailand",verified,medium,https://www.youtube.com/watch?v=kkVrj2cr9Ko,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
XUWjAsajKXg,Daxi District,Taoyuan,Taiwan,"Daxi District, Taoyuan, Taiwan",verified,medium,https://www.youtube.com/watch?v=XUWjAsajKXg,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
-g1qAvXyIyQ,San Juan Capistrano,California,United States,"San Juan Capistrano, California, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/california/san-juan-capistrano/railfan.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
_3LjfzI7EIM,Wellfleet,Massachusetts,United States,"Cahoon Hollow, Wellfleet, Massachusetts, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/massachusetts/cahoon-hollow/cahoon-hollow.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Cahoon Hollow is standardized to Wellfleet municipality."
PoZ1Hy7PQig,Portsmouth,New Hampshire,United States,"Portsmouth, New Hampshire, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/new-hampshire/portsmouth/portsmouth-strawbery-banke-museum.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
VsQekhPeUKs,Palma,Balearic Islands,Spain,"Can Pastilla, Palma, Balearic Islands, Spain",verified,high,https://www.skylinewebcams.com/en/webcam/espana/islas-baleares/mallorca/can-pastilla.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Can Pastilla is standardized to Palma municipality."
jE4og3o_SXs,Marathon,Florida,United States,"Marathon, Florida, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/florida/marathon/marathon.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
K1PkxWM6QB4,Miramar Beach,Florida,United States,"Miramar Beach, Florida, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/florida/miramar-beach/miramar-beach-whales-tail-beach.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
1FYgBpkM7SA,Jupiter,Florida,United States,"Jupiter, Florida, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/florida/jupiter/beach.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
UV94XxNvBdw,Fort Lauderdale,Florida,United States,"Fort Lauderdale, Florida, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/florida/fort-lauderdale/elbo-room-beach.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
YExjEi4p118,Bruges,Flanders,Belgium,"Bruges, Flanders, Belgium",verified,high,https://www.skylinewebcams.com/en/webcam/belgique/flandres/bruges/sint-pietersplas.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
PsRa6WGjbBo,Seven Mile Beach,Grand Cayman,Cayman Islands,"Seven Mile Beach, Grand Cayman, Cayman Islands",verified,medium,https://www.youtube.com/watch?v=PsRa6WGjbBo,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
Qoouv_9QG5Q,Perdido Key,Florida,United States,"Perdido Key, Florida, United States",verified,high,https://www.skylinewebcams.com/en/webcam/united-states/florida/perdido-key/mirabella-beach.html,operator source page,2026-07-15T18:35:00+00:00,server_location_audit,"Operator page path names the place."
teGLziUvDkI,Gatlinburg,Tennessee,United States,"Gatlinburg, Tennessee, United States",verified,medium,https://www.youtube.com/watch?v=teGLziUvDkI,public YouTube title,2026-07-15T18:35:00+00:00,server_location_audit,"Camera location is named in the public title."
